Time,CurrentX,CurrentY,CurrentRot,DesiredX,DesiredY,DesiredRot
11640,	0.19493023255813952,	0.5729767441860465,	0.026738030439438336,	0.19910465361556445,	0.572976878945183,	1.444603597568873E-6
11641,	0.19493023255813952,	0.5729767441860465,	0.026738030439438336,	0.19953795238933855,	0.5729768929329834,	1.5945513289561717E-6
11644,	0.19493023255813952,	0.5729767441860465,	0.026738030439438336,	0.1997208153432433,	0.5729768988361861,	1.65783303375761E-6
11648,	0.19493023255813952,	0.5729767441860465,	0.026738030439438336,	0.2000159791810895,	0.5729769083646987,	1.7599776751723578E-6
11656,	0.19493023255813952,	0.5729767441860465,	0.026738030439438336,	0.2006134978367782,	0.5729769276538641,	1.9667554744763116E-6
11658,	0.19493023255813952,	0.5729767441860465,	0.026738030439438336,	0.2010736905149384,	0.5729769425098566,	2.126010132619298E-6
11672,	0.19493023255813952,	0.5729767441860465,	0.026738030439438336,	0.2025017552437943,	0.572976988610805,	2.620207391709168E-6
11692,	0.19493023255813952,	0.5729767441860465,	-7.067899292141149E-17,	0.20491128267133873,	0.5729770663954441,	3.4540504426108786E-6
11713,	0.19493023255813952,	0.5729767441860465,	-7.067899292141149E-17,	0.20780756480142976,	0.572977159893554,	4.45634022774455E-6
11732,	0.19523398227070585,	0.5730044619624644,	0.11586479857089974,	0.21054237203840453,	0.572977248178913,	5.402749878051417E-6
11752,	0.19523398227070585,	0.5730044619624644,	0.11586479857089974,	0.2139550083758263,	0.5729773583460284,	6.583729626480249E-6
11772,	0.19523398227070585,	0.5730044619624644,	0.11586479857089974,	0.21752390330476687,	0.5729774735575013,	7.818784352098472E-6
11792,	0.19531771873322973,	0.5733855434520155,	1.6087381647728778,	0.22157234710425722,	0.5729776042498256,	9.21979215577864E-6
11811,	0.19531771873322973,	0.5733855434520155,	1.6087381647728778,	0.22585428622562617,	0.5729777424798724,	1.0701603543323776E-5
11832,	0.19473554095759998,	0.5738181798096987,	1.5775437959268663,	0.23035225122928243,	0.5729778876836914,	1.2258173026045997E-5
11852,	0.19473554095759998,	0.5738181798096987,	1.5775437959268663,	0.23536813098346868,	0.5729780496068935,	1.3993972514931315E-5
11872,	0.19473554095759998,	0.5738181798096987,	1.5775437959268663,	0.24053108059997846,	0.5729782162778216,	1.578066712179441E-5
11892,	0.1948210622528853,	0.5744785082816365,	0.25846762758123804,	0.24617922267703574,	0.572978398611788,	1.7735267832133454E-5
11912,	0.1948210622528853,	0.5744785082816365,	0.25846762758123804,	0.2519970766760039,	0.5729785864244141,	1.974859919028455E-5
11932,	0.19423669449028444,	0.5741567750279783,	0.38232577406400703,	0.2583746435650809,	0.5729787923057554,	2.195562525329028E-5
11953,	0.19423669449028444,	0.5741567750279783,	0.38232577406400703,	0.265031667997212,	0.5729790072085771,	2.4259360624367753E-5
11972,	0.19423669449028444,	0.5741567750279783,	0.38232577406400703,	0.2715760551750355,	0.5729792390661864,	2.583593959844356E-5
11992,	0.19457071787732724,	0.5742904753886238,	0.10244901465124402,	0.27876879470662763,	0.5729795426778344,	2.5938287352153002E-5
12012,	0.19457071787732724,	0.5742904753886238,	0.10244901465124402,	0.2862917137267257,	0.5729798602266392,	2.6045333333682473E-5
12033,	0.19457071787732724,	0.5742904753886238,	0.10244901465124402,	0.294206745834874,	0.5729801943268706,	2.615795881570487E-5
12052,	0.19590164415831215,	0.5743893429340314,	-0.008040116611807828,	0.3020970350698447,	0.5729805273826843,	2.6270232223600444E-5
12072,	0.19590164415831215,	0.5743893429340314,	-0.008040116611807828,	0.31051509356434515,	0.5729808827160869,	2.639001542633184E-5
12092,	0.19725070564935715,	0.5755732250681512,	0.9251264994645804,	0.3193682733072582,	0.5729812564163274,	2.6515990106200795E-5
12112,	0.19725070564935715,	0.5755732250681512,	0.9251264994645804,	0.32888817142677756,	0.5729816582593169,	2.665145173160737E-5
12132,	0.19725070564935715,	0.5755732250681512,	0.9251264994645804,	0.33794552166830805,	0.5729820405777675,	2.6780331617735433E-5
12152,	0.19952311894724326,	0.5761093368282139,	-0.6301356044294212,	0.34774581510917774,	0.5729824542564819,	2.6919783076384922E-5
12173,	0.19952311894724326,	0.5761093368282139,	-0.6301356044294212,	0.35828623840658724,	0.5729828991767064,	2.7069766075616064E-5
12192,	0.19880736023013845,	0.5741864025016061,	-1.8235617371896622,	0.367887975544397,	0.5729833089765038,	2.7168589697474172E-5
12212,	0.19880736023013845,	0.5741864025016061,	-1.8235617371896622,	0.3791245193062269,	0.5729837973303928,	2.7210512244613018E-5
12232,	0.19880736023013845,	0.5741864025016061,	-1.8235617371896622,	0.3899100906844333,	0.5729842660844724,	2.7250752253828146E-5
12252,	0.19805514799427634,	0.5732716234758084,	-1.0526619615524557,	0.4009870054879511,	0.5729847475006923,	2.7292079239496186E-5
12272,	0.19805514799427634,	0.5732716234758084,	-1.0526619615524557,	0.41301213127183406,	0.5729852701273173,	2.7336943916145056E-5
12292,	0.19740413688392378,	0.5736224345090678,	0.42335214862444315,	0.4243610714661889,	0.5729857633660923,	2.7379285804394538E-5
12312,	0.19740413688392378,	0.5736224345090678,	0.42335214862444315,	0.4370099904331492,	0.5729863131035294,	2.7426477798025992E-5
12332,	0.19740413688392378,	0.5736224345090678,	0.42335214862444315,	0.4499567640248885,	0.5729868757860915,	2.7474781060817472E-5
12352,	0.19587868057123936,	0.5751584090791162,	-1.4277266418061219,	0.46259382561503837,	0.5729874250081927,	2.7521928815628806E-5
12372,	0.19587868057123936,	0.5751584090791162,	-1.4277266418061219,	0.47552371978292907,	0.5729879869571545,	2.7570169102788543E-5
12392,	0.19562948479125578,	0.5746074769407007,	-1.1131185040420513,	0.4891921253153,	0.5729885812619615,	2.75966043358814E-5
